Product_Price,Order_Quantity,Return_Status,Days_to_Return,User_Age,Discount_Applied,Order_Weekday,Order_Month,Order_Year,Total_Amount,Product_Category_Clothing,Product_Category_Electronics,Product_Category_Home,Product_Category_Toys,User_Gender_Male,Payment_Method_Debit Card,Payment_Method_Gift Card,Payment_Method_PayPal,Shipping_Method_Next-Day,Shipping_Method_Standard,Return_Reason_Defective,Return_Reason_No Return,Return_Reason_Not as described,Return_Reason_Wrong item
146.37,4,0,-1.0,45,28.23,6,9,2024,585.48,False,True,False,False,True,False,False,True,True,False,False,True,False,False
311.08,1,0,-1.0,52,6.66,3,5,2024,311.08,True,False,False,False,False,False,False,True,False,True,False,True,False,False
400.12,1,1,120.0,33,18.25,4,2,2023,400.12,False,True,False,False,True,False,False,True,False,True,True,False,False,False
6.14,1,0,-1.0,31,47.47,0,7,2023,6.14,True,False,False,False,False,False,False,False,True,False,False,True,False,False
274.29,2,0,-1.0,18,2.49,5,7,2024,548.58,False,False,False,True,True,False,True,False,False,False,False,True,False,False
371.15,5,0,-1.0,58,18.68,4,11,2024,1855.75,False,True,False,False,False,False,True,False,False,True,False,True,False,False
232.97,5,0,-1.0,21,9.85,6,3,2023,1164.85,False,False,False,True,False,True,False,False,False,False,False,True,False,False
455.82,1,0,-1.0,52,11.96,6,5,2024,455.82,False,False,True,False,False,False,False,True,False,False,False,True,False,False
106.6,5,1,113.0,53,18.42,2,5,2024,533.0,False,False,False,True,True,False,False,False,False,True,True,False,False,False
317.9,5,0,-1.0,59,18.05,5,4,2024,1589.5,False,False,False,False,False,False,True,False,False,True,False,True,False,False
413.34,3,0,-1.0,49,38.29,1,5,2023,1240.02,False,False,False,True,True,False,False,False,False,True,False,True,False,False
481.73,5,0,-1.0,28,20.03,5,12,2023,2408.65,False,True,False,False,False,False,False,False,True,False,False,True,False,False
308.89,4,0,-1.0,68,35.45,6,6,2024,1235.56,False,False,False,True,False,True,False,False,False,False,False,True,False,False
290.49,3,0,-1.0,34,8.51,3,9,2023,871.47,False,False,False,True,True,False,False,True,True,False,False,True,False,False
331.26,2,0,-1.0,46,41.02,1,7,2024,662.52,True,False,False,False,False,False,False,True,False,True,False,True,False,False
246.15,1,1,454.0,31,23.63,5,2,2023,246.15,True,False,False,False,False,False,True,False,False,True,False,False,False,True
43.82,2,0,-1.0,28,14.6,4,2,2023,87.64,False,False,False,True,False,False,False,False,True,False,False,True,False,False
351.52,1,0,-1.0,46,11.58,1,3,2023,351.52,False,False,False,True,True,False,False,True,True,False,False,True,False,False
240.65,2,0,-1.0,33,12.93,5,2,2024,481.3,False,False,False,False,False,False,True,False,False,True,False,True,False,False
105.7,3,1,13.0,44,42.07,3,5,2024,317.1,True,False,False,False,True,False,False,False,True,False,False,False,False,True
188.76,3,0,-1.0,66,12.68,3,10,2024,566.28,False,False,True,False,False,False,True,False,False,True,False,True,False,False
97.31,2,1,292.0,53,10.96,0,5,2023,194.62,False,False,True,False,False,True,False,False,True,False,False,False,False,False
297.62,4,0,-1.0,52,16.9,3,3,2024,1190.48,True,False,False,False,True,False,False,False,False,False,False,True,False,False
23.6,1,1,403.0,37,6.53,2,6,2023,23.6,False,False,False,False,False,False,False,False,True,False,True,False,False,False
495.34,3,0,-1.0,46,43.34,2,3,2024,1486.02,False,False,False,True,False,True,False,False,False,False,False,True,False,False
49.47,2,0,-1.0,53,38.09,3,2,2024,98.94,False,False,False,True,False,False,False,False,False,False,False,True,False,False
283.79,2,0,-1.0,42,30.81,6,2,2023,567.58,False,False,True,False,True,True,False,False,True,False,False,True,False,False
353.51,4,0,-1.0,39,17.72,6,2,2024,1414.04,False,True,False,False,False,True,False,False,False,True,False,True,False,False
129.94,5,0,-1.0,65,12.83,0,5,2024,649.7,False,False,True,False,False,False,False,True,True,False,False,True,False,False
16.37,2,0,-1.0,32,16.08,0,2,2023,32.74,False,True,False,False,True,False,False,False,True,False,False,True,False,False
344.6,4,0,-1.0,28,40.95,2,11,2024,1378.4,False,False,True,False,False,False,False,True,True,False,False,True,False,False
195.24,5,0,-1.0,53,16.1,1,12,2023,976.2,True,False,False,False,False,False,True,False,False,False,False,True,False,False
428.0,1,0,-1.0,50,12.39,1,11,2023,428.0,True,False,False,False,False,True,False,False,False,True,False,True,False,False
280.61,2,1,111.0,32,2.34,5,6,2023,561.22,False,False,False,True,True,True,False,False,False,False,True,False,False,False
142.71,2,0,-1.0,60,19.05,6,9,2024,285.42,False,False,False,False,False,True,False,False,True,False,False,True,False,False
394.08,3,1,216.0,62,12.27,0,11,2023,1182.24,False,True,False,False,True,False,False,False,True,False,False,False,False,True
266.88,2,0,-1.0,65,21.32,1,6,2024,533.76,True,False,False,False,False,True,False,False,True,False,False,True,False,False
312.45,4,0,-1.0,30,33.19,2,8,2024,1249.8,False,False,False,True,False,False,False,True,True,False,False,True,False,False
481.58,3,0,-1.0,39,22.71,3,3,2023,1444.74,False,False,False,True,True,True,False,False,True,False,False,True,False,False
283.14,5,0,-1.0,62,17.53,0,7,2023,1415.6999999999998,True,False,False,False,True,False,False,False,False,True,False,True,False,False
84.9,5,0,-1.0,67,46.26,2,2,2024,424.5,False,False,False,True,False,False,True,False,True,False,False,True,False,False
332.39,5,1,256.0,36,24.31,0,5,2023,1661.9499999999998,False,True,False,False,True,True,False,False,True,False,False,False,True,False
139.6,5,0,-1.0,34,13.87,1,5,2023,698.0,False,True,False,False,True,False,False,True,False,True,False,True,False,False
185.34,2,1,287.0,31,36.01,6,4,2023,370.68,False,False,False,False,False,False,False,True,False,True,False,False,True,False
64.29,2,1,461.0,39,47.4,6,5,2023,128.58,False,False,False,True,True,True,False,False,False,False,False,False,True,False
231.65,5,0,-1.0,58,45.83,2,8,2024,1158.25,False,True,False,False,True,True,False,False,False,True,False,True,False,False
44.48,1,0,-1.0,50,27.66,6,4,2023,44.48,False,True,False,False,True,True,False,False,False,False,False,True,False,False
496.22,5,1,167.0,67,32.87,4,3,2023,2481.1000000000004,False,True,False,False,True,False,True,False,True,False,False,False,False,False
52.19,1,1,503.0,21,35.14,3,6,2023,52.19,False,True,False,False,False,True,False,False,False,True,False,False,True,False
427.29,3,0,-1.0,51,46.46,0,11,2024,1281.8700000000001,False,False,False,False,True,False,False,True,False,True,False,True,False,False
283.68,3,0,-1.0,49,38.31,3,4,2023,851.04,False,False,True,False,True,False,False,False,True,False,False,True,False,False
255.78,2,0,-1.0,63,34.49,2,3,2024,511.56,False,False,True,False,False,False,False,False,True,False,False,True,False,False
478.47,4,0,-1.0,22,9.06,3,8,2023,1913.88,False,False,False,False,False,False,False,True,False,True,False,True,False,False
481.66,3,0,-1.0,28,20.8,0,7,2023,1444.98,False,False,True,False,True,False,False,True,True,False,False,True,False,False
193.16,3,0,-1.0,56,26.81,3,10,2024,579.48,False,False,False,True,True,False,False,True,False,False,False,True,False,False
394.71,4,1,148.0,66,16.01,0,10,2023,1578.84,False,False,True,False,False,False,True,False,True,False,False,False,False,False
230.9,2,1,338.0,69,26.62,5,7,2023,461.8,False,False,True,False,True,False,False,False,True,False,True,False,False,False
296.56,1,0,-1.0,39,32.02,2,4,2024,296.56,True,False,False,False,False,False,True,False,False,True,False,True,False,False
490.55,1,0,-1.0,62,17.9,0,2,2023,490.55,False,False,False,False,True,False,False,True,False,True,False,True,False,False
496.31,4,1,143.0,53,10.15,6,6,2023,1985.24,False,False,False,True,True,False,True,False,True,False,True,False,False,False
434.25,5,0,-1.0,18,7.11,2,2,2024,2171.25,True,False,False,False,False,False,True,False,False,False,False,True,False,False
46.61,1,1,389.0,42,8.9,3,12,2023,46.61,False,False,False,False,True,False,False,False,True,False,False,False,False,True
284.49,4,0,-1.0,48,39.82,0,10,2023,1137.96,True,False,False,False,False,False,False,False,True,False,False,True,False,False
169.93,5,1,111.0,40,27.73,2,5,2024,849.6500000000001,False,False,False,False,True,False,False,False,True,False,False,False,False,True
146.37,4,0,-1.0,23,42.55,3,9,2023,585.48,False,False,False,False,False,True,False,False,False,False,False,True,False,False
444.43,4,0,-1.0,48,28.53,6,9,2024,1777.72,False,True,False,False,False,True,False,False,True,False,False,True,False,False
35.16,3,1,197.0,48,3.9,0,4,2023,105.47999999999999,False,False,True,False,False,False,False,True,True,False,True,False,False,False
287.93,4,0,-1.0,66,3.37,0,6,2023,1151.72,False,False,True,False,False,True,False,False,False,True,False,True,False,False
168.68,2,0,-1.0,48,44.53,0,10,2023,337.36,False,False,False,True,True,False,False,True,False,True,False,True,False,False
466.62,3,0,-1.0,24,8.36,3,10,2024,1399.8600000000001,False,False,False,False,True,True,False,False,False,False,False,True,False,False
51.56,4,0,-1.0,37,44.74,1,8,2024,206.24,True,False,False,False,True,False,False,False,False,False,False,True,False,False
79.31,1,0,-1.0,37,29.18,4,5,2024,79.31,False,False,False,True,False,False,True,False,True,False,False,True,False,False
137.72,3,0,-1.0,45,1.13,6,3,2024,413.15999999999997,True,False,False,False,True,True,False,False,False,True,False,True,False,False
464.67,4,0,-1.0,54,19.21,5,1,2023,1858.68,False,True,False,False,True,False,True,False,False,True,False,True,False,False
79.9,4,1,293.0,42,22.19,1,9,2023,319.6,False,False,False,False,False,False,False,True,False,False,True,False,False,False
265.23,4,1,226.0,57,49.85,6,2,2024,1060.92,False,True,False,False,True,False,False,False,True,False,False,False,False,False
468.62,2,0,-1.0,31,46.77,3,4,2023,937.24,True,False,False,False,True,False,True,False,True,False,False,True,False,False
245.44,5,1,66.0,29,25.44,3,8,2024,1227.2,False,False,False,False,False,False,False,True,False,True,False,False,False,False
116.2,2,0,-1.0,37,48.36,2,9,2023,232.4,False,False,False,True,True,False,True,False,True,False,False,True,False,False
400.21,3,0,-1.0,69,36.32,2,6,2024,1200.6299999999999,False,False,True,False,False,False,False,True,False,True,False,True,False,False
310.14,2,0,-1.0,54,22.6,3,3,2023,620.28,False,False,False,False,True,False,False,True,False,False,False,True,False,False
247.46,2,0,-1.0,48,19.97,4,12,2024,494.92,False,False,True,False,True,False,True,False,True,False,False,True,False,False
255.71,2,0,-1.0,57,7.64,5,1,2023,511.42,False,False,True,False,True,False,False,False,False,True,False,True,False,False
172.02,1,0,-1.0,46,2.75,6,3,2024,172.02,False,False,False,False,False,False,False,False,True,False,False,True,False,False
170.05,2,0,-1.0,23,35.55,4,12,2023,340.1,True,False,False,False,True,True,False,False,False,False,False,True,False,False
314.35,3,0,-1.0,22,15.81,1,4,2024,943.0500000000001,False,False,False,True,True,False,False,False,False,True,False,True,False,False
319.34,1,0,-1.0,54,18.74,6,2,2024,319.34,False,True,False,False,True,False,True,False,True,False,False,True,False,False
174.94,1,1,566.0,62,22.43,2,2,2023,174.94,False,True,False,False,False,False,False,True,True,False,True,False,False,False
85.28,2,0,-1.0,20,1.55,0,3,2024,170.56,False,False,True,False,False,False,False,False,False,False,False,True,False,False
386.51,1,1,139.0,27,10.19,0,1,2023,386.51,False,False,False,True,True,False,False,False,False,True,False,False,False,True
238.63,2,0,-1.0,46,20.89,1,8,2023,477.26,True,False,False,False,False,False,False,False,False,False,False,True,False,False
173.42,1,1,289.0,33,26.04,5,7,2023,173.42,True,False,False,False,False,False,True,False,False,False,False,False,False,True
199.13,4,0,-1.0,50,4.82,1,10,2023,796.52,False,True,False,False,False,False,False,False,False,False,False,True,False,False
219.56,1,0,-1.0,24,1.05,6,1,2023,219.56,False,True,False,False,False,True,False,False,False,True,False,True,False,False
66.65,2,0,-1.0,58,38.8,1,10,2023,133.3,True,False,False,False,False,False,False,True,False,False,False,True,False,False
328.09,3,0,-1.0,59,8.73,5,10,2024,984.27,True,False,False,False,False,False,True,False,True,False,False,True,False,False
222.62,3,0,-1.0,53,10.03,2,12,2024,667.86,True,False,False,False,False,False,False,True,False,False,False,True,False,False
404.5,1,0,-1.0,31,44.89,6,10,2024,404.5,False,False,False,True,False,False,True,False,False,False,False,True,False,False
438.43,4,0,-1.0,32,26.75,1,10,2024,1753.72,False,False,False,True,True,False,False,False,False,False,False,True,False,False
140.06,1,0,-1.0,42,33.08,6,10,2023,140.06,False,False,False,True,True,False,True,False,True,False,False,True,False,False
255.92,1,0,-1.0,18,33.02,4,7,2024,255.92,False,False,True,False,False,True,False,False,False,True,False,True,False,False
27.23,3,0,-1.0,42,49.27,2,8,2024,81.69,False,True,False,False,True,False,False,False,False,False,False,True,False,False
469.69,5,0,-1.0,28,22.43,3,2,2024,2348.45,False,False,True,False,False,False,True,False,False,False,False,True,False,False
31.93,5,0,-1.0,40,5.75,2,6,2024,159.65,False,False,False,False,True,True,False,False,False,True,False,True,False,False
24.41,5,0,-1.0,69,22.26,5,7,2023,122.05,False,False,False,False,True,False,False,False,True,False,False,True,False,False
217.79,4,1,345.0,40,34.27,4,9,2023,871.16,True,False,False,False,True,False,False,True,False,False,True,False,False,False
434.66,2,1,329.0,19,49.39,5,11,2023,869.32,True,False,False,False,False,True,False,False,False,True,False,False,True,False
32.48,2,0,-1.0,57,9.27,1,4,2024,64.96,False,False,False,False,False,False,True,False,False,True,False,True,False,False
291.43,4,1,506.0,22,8.13,3,4,2023,1165.72,False,False,False,True,True,False,False,True,False,False,True,False,False,False
128.65,1,1,122.0,37,1.9,6,6,2024,128.65,False,True,False,False,False,True,False,False,True,False,False,False,False,False
396.48,5,1,305.0,69,39.19,6,10,2023,1982.4,False,False,False,False,True,True,False,False,False,False,False,False,False,True
300.03,1,0,-1.0,42,46.37,1,3,2023,300.03,False,False,False,False,True,False,False,False,True,False,False,True,False,False
443.71,3,0,-1.0,19,46.28,4,9,2023,1331.1299999999999,False,False,False,True,False,False,False,False,False,False,False,True,False,False
118.2,5,1,160.0,32,43.34,4,12,2023,591.0,True,False,False,False,True,False,True,False,False,True,False,False,False,False
138.23,2,1,198.0,28,42.31,6,12,2023,276.46,False,False,True,False,False,False,False,True,False,False,False,False,False,True
47.05,3,1,80.0,43,45.62,0,8,2024,141.14999999999998,False,False,False,True,False,False,True,False,False,False,False,False,True,False
9.03,5,1,481.0,39,37.1,0,6,2023,45.15,False,False,False,True,True,False,False,False,False,True,False,False,True,False
143.73,2,0,-1.0,49,7.07,6,2,2024,287.46,False,False,False,True,False,False,False,True,True,False,False,True,False,False
140.05,5,0,-1.0,67,22.06,0,8,2024,700.25,False,True,False,False,False,False,False,True,True,False,False,True,False,False
326.97,4,0,-1.0,26,17.41,3,7,2024,1307.88,False,False,False,True,False,False,False,True,True,False,False,True,False,False
130.9,2,0,-1.0,59,14.17,2,4,2023,261.8,False,False,False,False,True,False,True,False,False,False,False,True,False,False
233.21,1,0,-1.0,54,2.79,5,5,2023,233.21,True,False,False,False,False,True,False,False,False,True,False,True,False,False
69.89,4,1,330.0,41,32.4,1,10,2023,279.56,True,False,False,False,True,False,False,False,False,False,False,False,False,True
340.06,3,1,209.0,56,27.27,4,3,2023,1020.1800000000001,False,False,False,True,False,False,False,False,True,False,False,False,True,False
488.64,4,0,-1.0,25,17.8,2,12,2023,1954.56,False,False,False,False,True,False,True,False,False,True,False,True,False,False
356.89,2,1,242.0,36,32.57,2,7,2023,713.78,True,False,False,False,False,True,False,False,False,True,True,False,False,False
406.41,1,0,-1.0,36,49.99,1,10,2024,406.41,True,False,False,False,True,True,False,False,False,False,False,True,False,False
55.35,3,0,-1.0,62,30.11,2,2,2023,166.05,False,False,False,False,False,True,False,False,False,False,False,True,False,False
178.98,4,0,-1.0,27,21.41,0,9,2024,715.92,True,False,False,False,True,False,False,False,True,False,False,True,False,False
482.75,3,0,-1.0,32,42.34,5,4,2024,1448.25,False,False,True,False,False,False,False,False,False,True,False,True,False,False
182.01,4,0,-1.0,24,27.82,4,7,2023,728.04,False,False,True,False,True,False,False,True,True,False,False,True,False,False
124.46,4,0,-1.0,63,49.97,5,1,2023,497.84,False,True,False,False,True,True,False,False,False,True,False,True,False,False
13.04,5,0,-1.0,44,32.34,3,2,2024,65.19999999999999,False,False,True,False,False,False,False,False,True,False,False,True,False,False
252.78,1,0,-1.0,45,18.98,6,6,2023,252.78,False,False,True,False,True,False,True,False,False,True,False,True,False,False
82.57,5,0,-1.0,62,44.8,0,6,2024,412.84999999999997,True,False,False,False,False,False,False,False,True,False,False,True,False,False
47.64,1,0,-1.0,19,33.04,0,6,2023,47.64,False,True,False,False,True,False,True,False,True,False,False,True,False,False
323.61,2,0,-1.0,33,9.07,3,10,2024,647.22,False,True,False,False,False,False,False,False,False,False,False,True,False,False
325.87,4,0,-1.0,60,27.15,6,4,2024,1303.48,True,False,False,False,True,False,False,False,False,False,False,True,False,False
362.81,5,1,421.0,37,21.11,1,4,2023,1814.05,True,False,False,False,True,False,True,False,False,False,False,False,True,False
317.9,4,0,-1.0,68,29.84,5,12,2024,1271.6,False,False,True,False,True,False,False,False,True,False,False,True,False,False
419.62,1,0,-1.0,19,40.75,1,8,2024,419.62,False,False,False,True,True,False,False,True,False,True,False,True,False,False
279.06,5,0,-1.0,54,42.67,3,8,2024,1395.3,False,False,True,False,True,True,False,False,False,False,False,True,False,False
435.0,3,0,-1.0,64,8.42,0,11,2023,1305.0,False,True,False,False,True,True,False,False,False,True,False,True,False,False
321.88,1,0,-1.0,60,13.48,3,6,2023,321.88,True,False,False,False,False,False,False,False,False,False,False,True,False,False
488.4,3,1,194.0,51,19.88,1,11,2023,1465.1999999999998,False,True,False,False,False,True,False,False,False,True,False,False,True,False
270.92,1,1,204.0,36,19.62,1,7,2023,270.92,False,False,False,False,False,False,False,True,False,True,True,False,False,False
465.76,1,0,-1.0,66,22.73,6,11,2024,465.76,False,False,False,True,False,False,False,False,True,False,False,True,False,False
102.7,1,0,-1.0,53,35.21,0,2,2023,102.7,False,False,False,True,True,False,False,True,True,False,False,True,False,False
489.62,1,0,-1.0,61,32.34,0,5,2024,489.62,False,False,False,True,False,False,False,True,True,False,False,True,False,False
221.05,2,0,-1.0,29,18.29,2,11,2023,442.1,True,False,False,False,False,False,False,True,False,False,False,True,False,False
128.35,3,1,13.0,37,15.47,3,11,2023,385.04999999999995,True,False,False,False,True,False,True,False,False,True,False,False,True,False
144.86,4,1,228.0,64,7.51,2,4,2023,579.44,False,False,False,True,True,True,False,False,True,False,False,False,False,False
179.56,2,0,-1.0,28,45.92,0,1,2024,359.12,False,False,True,False,False,False,False,False,False,False,False,True,False,False
409.65,2,1,355.0,64,43.1,4,6,2023,819.3,True,False,False,False,True,False,False,False,False,False,False,False,True,False
170.03,3,1,13.0,21,23.19,4,3,2023,510.09000000000003,False,False,True,False,True,False,False,True,False,True,True,False,False,False
367.8,5,0,-1.0,61,21.98,0,11,2023,1839.0,False,False,False,False,True,False,True,False,False,True,False,True,False,False
143.01,4,0,-1.0,50,46.55,4,7,2023,572.04,False,False,False,False,True,False,False,True,False,True,False,True,False,False
277.15,1,1,137.0,67,46.01,0,9,2023,277.15,False,False,False,False,True,False,False,False,True,False,False,False,False,True
261.91,3,0,-1.0,65,48.16,0,10,2023,785.73,False,False,False,False,True,False,False,False,False,True,False,True,False,False
427.99,2,1,253.0,62,15.63,1,6,2023,855.98,False,False,True,False,True,True,False,False,True,False,True,False,False,False
130.63,1,1,393.0,40,12.37,4,5,2023,130.63,False,False,True,False,False,False,True,False,True,False,True,False,False,False
185.67,5,0,-1.0,33,14.27,3,11,2023,928.3499999999999,False,False,False,True,True,False,False,True,False,True,False,True,False,False
427.1,4,0,-1.0,44,8.08,4,4,2023,1708.4,False,False,False,False,True,True,False,False,False,False,False,True,False,False
54.41,2,0,-1.0,61,22.8,4,1,2023,108.82,False,False,False,True,True,True,False,False,False,False,False,True,False,False
273.54,1,0,-1.0,22,12.52,4,10,2023,273.54,False,False,True,False,False,False,False,True,True,False,False,True,False,False
359.73,5,1,64.0,50,11.7,6,12,2023,1798.65,False,False,True,False,False,False,False,True,False,True,False,False,False,True
378.25,5,1,66.0,27,23.41,0,6,2024,1891.25,False,False,False,True,True,True,False,False,False,True,False,False,False,False
150.56,5,0,-1.0,50,4.04,3,10,2024,752.8,True,False,False,False,True,False,True,False,False,True,False,True,False,False
291.63,1,0,-1.0,53,13.87,3,12,2023,291.63,False,False,False,True,True,False,True,False,False,False,False,True,False,False
151.4,1,1,416.0,24,39.16,5,3,2023,151.4,True,False,False,False,True,True,False,False,False,False,False,False,False,False
478.53,1,0,-1.0,64,32.12,0,7,2023,478.53,False,True,False,False,False,False,False,False,False,True,False,True,False,False
72.07,3,0,-1.0,67,39.03,4,2,2024,216.20999999999998,True,False,False,False,False,True,False,False,True,False,False,True,False,False
331.08,3,1,26.0,65,33.08,4,8,2024,993.24,False,False,False,True,True,False,True,False,True,False,True,False,False,False
27.39,3,1,444.0,56,42.79,0,6,2023,82.17,False,False,False,False,False,True,False,False,False,False,False,False,False,False
341.03,4,1,668.0,69,2.42,5,2,2023,1364.12,False,False,True,False,False,False,True,False,False,False,True,False,False,False
299.98,4,1,665.0,43,35.3,0,2,2023,1199.92,False,False,False,True,False,False,False,False,True,False,False,False,False,False
14.88,4,0,-1.0,41,18.97,4,10,2023,59.52,False,True,False,False,True,False,False,False,False,True,False,True,False,False
80.88,3,1,114.0,35,46.78,2,1,2024,242.64,False,False,True,False,False,False,False,True,True,False,False,False,True,False
80.4,4,0,-1.0,50,9.56,1,8,2024,321.6,True,False,False,False,False,False,True,False,False,False,False,True,False,False
46.83,5,0,-1.0,27,17.12,2,5,2023,234.14999999999998,False,False,False,True,True,True,False,False,False,True,False,True,False,False
121.7,2,0,-1.0,25,30.07,2,7,2024,243.4,False,False,False,False,True,False,False,False,False,False,False,True,False,False
35.8,2,0,-1.0,65,9.85,4,10,2023,71.6,False,True,False,False,False,False,False,True,False,False,False,True,False,False
395.28,4,1,418.0,47,6.27,6,1,2023,1581.12,False,False,True,False,True,False,False,False,False,False,True,False,False,False
48.49,2,1,538.0,27,48.7,5,5,2023,96.98,True,False,False,False,True,False,False,False,False,True,False,False,False,True
365.3,4,1,383.0,70,25.2,5,3,2023,1461.2,False,False,False,False,True,True,False,False,False,True,True,False,False,False
223.1,5,0,-1.0,25,48.21,0,5,2023,1115.5,False,False,False,False,False,False,True,False,False,False,False,True,False,False
266.83,3,0,-1.0,60,1.65,6,12,2023,800.49,False,False,False,True,True,False,True,False,True,False,False,True,False,False
333.67,5,1,282.0,61,40.16,1,5,2023,1668.3500000000001,False,False,False,True,False,False,False,True,False,False,False,False,False,True
359.03,2,0,-1.0,46,44.86,3,12,2023,718.06,False,True,False,False,True,False,False,True,False,False,False,True,False,False
337.22,3,0,-1.0,31,6.54,2,10,2024,1011.6600000000001,False,False,False,False,False,False,False,True,False,True,False,True,False,False
392.03,5,1,288.0,21,2.16,4,1,2024,1960.1499999999999,False,True,False,False,True,True,False,False,False,True,True,False,False,False
210.46,3,0,-1.0,26,6.82,6,5,2024,631.38,False,False,True,False,True,False,True,False,False,False,False,True,False,False
394.61,4,0,-1.0,18,22.17,4,9,2024,1578.44,False,False,True,False,False,False,True,False,False,False,False,True,False,False
182.75,5,1,179.0,70,18.41,0,7,2023,913.75,False,False,False,False,True,False,False,True,True,False,False,False,True,False
161.86,3,1,338.0,39,26.28,1,6,2023,485.58000000000004,False,False,False,False,True,False,False,False,True,False,True,False,False,False
124.04,2,0,-1.0,58,28.38,2,5,2023,248.08,False,False,False,False,False,False,False,True,True,False,False,True,False,False
362.72,3,0,-1.0,49,16.94,2,6,2023,1088.16,False,True,False,False,False,False,False,False,False,False,False,True,False,False
257.04,5,0,-1.0,69,42.48,0,5,2024,1285.2,False,False,False,True,True,False,False,False,False,False,False,True,False,False
338.15,5,1,328.0,29,1.29,3,2,2023,1690.75,False,False,False,False,False,False,False,True,True,False,False,False,False,True
431.36,5,0,-1.0,29,40.2,1,1,2024,2156.8,False,False,True,False,False,True,False,False,False,False,False,True,False,False
401.31,2,0,-1.0,50,18.01,2,1,2024,802.62,False,False,False,False,True,False,True,False,False,True,False,True,False,False
477.66,3,1,54.0,67,29.89,3,3,2023,1432.98,True,False,False,False,True,False,False,True,True,False,True,False,False,False
372.61,2,0,-1.0,51,0.2,3,7,2024,745.22,False,False,True,False,False,False,True,False,True,False,False,True,False,False
449.62,1,0,-1.0,67,5.68,4,6,2023,449.62,False,True,False,False,False,False,True,False,False,False,False,True,False,False
43.12,1,1,541.0,63,18.5,2,2,2023,43.12,False,False,False,True,True,False,False,False,False,True,True,False,False,False
138.11,4,0,-1.0,61,18.15,1,1,2023,552.44,False,False,False,True,True,False,True,False,False,False,False,True,False,False
296.53,1,0,-1.0,24,21.71,6,10,2023,296.53,True,False,False,False,False,True,False,False,False,False,False,True,False,False
404.99,3,1,117.0,43,16.97,2,10,2023,1214.97,False,False,True,False,True,True,False,False,False,True,False,False,True,False
76.45,1,0,-1.0,65,25.4,2,6,2023,76.45,False,False,True,False,True,False,False,True,False,True,False,True,False,False
218.33,3,0,-1.0,58,29.65,4,6,2023,654.99,False,False,True,False,True,False,True,False,True,False,False,True,False,False
101.63,2,0,-1.0,55,30.92,1,8,2023,203.26,False,True,False,False,True,False,False,False,False,False,False,True,False,False
423.45,2,1,7.0,29,37.12,3,12,2023,846.9,False,False,False,False,False,False,False,True,False,True,False,False,False,False
271.7,4,0,-1.0,39,46.8,6,6,2024,1086.8,True,False,False,False,False,False,False,False,False,True,False,True,False,False
264.28,4,0,-1.0,57,47.62,2,9,2023,1057.12,False,False,False,True,True,False,False,True,False,False,False,True,False,False
365.89,5,1,130.0,27,26.27,0,1,2023,1829.4499999999998,True,False,False,False,True,False,False,False,False,True,False,False,True,False
138.37,5,0,-1.0,39,33.19,3,10,2024,691.85,False,False,True,False,False,False,False,True,False,False,False,True,False,False
67.17,3,0,-1.0,39,30.12,2,1,2023,201.51,False,False,True,False,True,True,False,False,True,False,False,True,False,False
192.67,2,1,226.0,53,37.32,4,10,2023,385.34,False,True,False,False,False,False,True,False,True,False,False,False,False,True
